t,x,y,z,
1272,29.11,207.95,27.95,-27.95
1273,28.81,207.79,27.79,-27.79
1274,28.99,207.63,27.63,-27.63
1275,29.24,207.48,27.48,-27.48
1276,29.11,207.3,27.3,-27.3
1277,28.75,207.13,27.13,-27.13
1278,28.44,206.94,26.94,-26.94
1279,27.95,206.75,26.75,-26.75
1280,27.53,206.54,26.54,-26.54
1281,27.04,206.31,26.31,-26.31
1282,26.25,206.07,26.07,-26.07
1283,25.63,205.82,25.82,-25.82
1284,24.96,205.55,25.55,-25.55
1285,24.11,205.3,25.3,-25.3
1286,22.83,205.04,25.04,-25.04
1287,21.55,204.79,24.79,-24.79
1288,20.2,204.52,24.52,-24.52
1289,18.92,204.26,24.26,-24.26
1290,17.03,203.98,23.98,-23.98
1291,15.44,203.71,23.71,-23.71
1292,14.16,203.43,23.43,-23.43
1293,12.82,203.14,23.14,-23.14
1294,11.41,202.84,22.84,-22.84
1295,10.5,202.52,22.52,-22.52
1296,9.52,202.22,22.22,-22.22
1297,8.67,201.9,21.9,-21.9
1298,7.93,201.59,21.59,-21.59
1299,6.96,201.28,21.28,-21.28
1300,6.65,200.98,20.98,-20.98
1301,6.04,200.67,20.67,-20.67
1302,5.8,200.36,20.36,-20.36
1303,4.88,200.05,20.05,-20.05
1304,4.21,199.73,19.73,-19.73
1305,3.48,199.42,19.42,-19.42
1306,2.5,199.1,19.1,-19.1
1307,1.77,198.79,18.79,-18.79
1308,1.04,198.47,18.47,-18.47
1309,0.43,198.16,18.16,-18.16
1310,-0.31,197.84,17.84,-17.84
1311,-1.04,197.51,17.51,-17.51
1312,-1.46,197.19,17.19,-17.19
1313,-1.89,196.88,16.88,-16.88
1314,-2.2,196.56,16.56,-16.56
1315,-2.62,196.25,16.25,-16.25
1316,-2.93,195.94,15.94,-15.94
1317,-3.66,195.63,15.63,-15.63
1318,-4.03,195.33,15.33,-15.33
1319,-4.76,195.02,15.02,-15.02
1320,-5.55,194.73,14.73,-14.73
1321,-6.53,194.44,14.44,-14.44
1322,-7.45,194.14,14.14,-14.14
1323,-8.42,193.84,13.84,-13.84
1324,-9.7,193.54,13.54,-13.54
1325,-10.31,193.25,13.25,-13.25
1326,-10.93,192.94,12.94,-12.94
1327,-11.47,192.64,12.64,-12.64
1328,-12.33,192.33,12.33,-12.33
1329,-12.45,192.03,12.03,-12.03
1330,-12.88,191.71,11.71,-11.71
1331,-13.37,191.4,11.4,-11.4
1332,-13.61,191.09,11.09,-11.09
1333,-14.22,190.77,10.77,-10.77
1334,-14.65,190.45,10.45,-10.45
1335,-15.14,190.13,10.13,-10.13
1336,-15.56,189.79,9.79,-9.79
1337,-16.42,189.46,9.46,-9.46
1338,-16.97,189.12,9.12,-9.12
1339,-17.27,188.78,8.78,-8.78
1340,-18.01,188.44,8.44,-8.44
1341,-18.49,188.09,8.09,-8.09
1342,-18.62,187.74,7.74,-7.74
1343,-19.29,187.38,7.38,-7.38
1344,-19.59,187.02,7.02,-7.02
1345,-19.65,186.67,6.67,-6.67
1346,-20.02,186.31,6.31,-6.31
1347,-20.57,185.95,5.95,-5.95
1348,-20.81,185.57,5.57,-5.57
1349,-21.79,185.19,5.19,-5.19
1350,-22.52,184.81,4.81,-4.81
1351,-23.13,184.43,4.43,-4.43
1352,-24.05,184.05,4.05,-4.05
1353,-25.15,183.67,3.67,-3.67
1354,-26.18,183.29,3.29,-3.29
1355,-27.1,182.92,2.92,-2.92
1356,-28.08,182.54,2.54,-2.54
1357,-29.42,182.16,2.16,-2.16
1358,-30.15,181.8,1.8,-1.8
1359,-31.07,181.44,1.44,-1.44
1360,-31.86,181.08,1.08,-1.08
1361,-32.84,180.71,0.71,-0.71
1362,-33.94,180.35,0.35,-0.35
1363,-34.73,179.99,-0.01,0.01
1364,-35.52,179.63,-0.37,0.37
1365,-36.38,179.28,-0.72,0.72
1366,-37.35,178.93,-1.07,1.07
1367,-38.15,178.59,-1.41,1.41
1368,-38.57,178.25,-1.75,1.75
1369,-39.06,177.92,-2.08,2.08
1370,-39.06,177.59,-2.41,2.41
1371,-39.18,177.27,-2.73,2.73
1372,-39.18,176.95,-3.05,3.05
1373,-39.12,176.63,-3.37,3.37
1374,-38.76,176.31,-3.69,3.69
1375,-38.82,176,-4,4
1376,-37.9,175.69,-4.31,4.31
1377,-37.35,175.39,-4.61,4.61
1378,-36.56,175.09,-4.91,4.91
1379,-35.71,174.8,-5.2,5.2
1380,-34.73,174.51,-5.49,5.49
1381,-34,174.21,-5.79,5.79
1382,-33.75,173.91,-6.09,6.09
1383,-33.51,173.62,-6.38,6.38
1384,-33.33,173.34,-6.66,6.66
1385,-33.39,173.06,-6.94,6.94
1386,-33.63,172.76,-7.24,7.24
1387,-34.18,172.47,-7.53,7.53
1388,-34.79,172.18,-7.82,7.82
1389,-35.1,171.9,-8.1,8.1
1390,-35.58,171.61,-8.39,8.39
1391,-36.07,171.33,-8.67,8.67
1392,-36.74,171.05,-8.95,8.95
1393,-37.72,170.77,-9.23,9.23
1394,-38.39,170.5,-9.5,9.5
1395,-39,170.23,-9.77,9.77
1396,-39.43,169.98,-10.02,10.02
1397,-39.98,169.73,-10.27,10.27
1398,-40.22,169.48,-10.52,10.52
1399,-40.34,169.21,-10.79,10.79
1400,-40.41,168.94,-11.06,11.06
1401,-41.14,168.68,-11.32,11.32
1402,-41.2,168.43,-11.57,11.57
1403,-41.38,168.19,-11.81,11.81
1404,-41.5,167.92,-12.08,12.08
1405,-41.26,167.78,-12.22,12.22
1406,-41.38,167.54,-12.46,12.46
1407,-41.02,167.44,-12.56,12.56
1408,-39.79,167.19,-12.81,12.81
1409,-38.15,167.02,-12.98,12.98
1410,-37.23,166.77,-13.23,13.23
1411,-36.19,166.56,-13.44,13.44
1412,-34.97,166.34,-13.66,13.66
1413,-33.94,166.15,-13.85,13.85
1414,-32.84,165.99,-14.01,14.01
1415,-32.35,165.8,-14.2,14.2
1416,-32.23,165.6,-14.4,14.4
1417,-31.8,165.53,-14.47,14.47
1418,-31.62,165.56,-14.44,14.44
1419,-31.56,165.42,-14.58,14.58
1420,-30.58,165.42,-14.58,14.58
1421,-29.42,165.29,-14.71,14.71
1422,-28.75,165.22,-14.78,14.78
1423,-27.1,165.07,-14.93,14.93
1424,-25.63,165.09,-14.91,14.91
1425,-24.6,164.99,-15.01,15.01
1426,-23.8,164.97,-15.03,15.03
1427,-23.25,164.91,-15.09,15.09
1428,-23.32,164.87,-15.13,15.13
1429,-23.25,164.85,-15.15,15.15
1430,-23.5,164.85,-15.15,15.15
1431,-24.41,164.86,-15.14,15.14
1432,-24.35,164.89,-15.11,15.11
1433,-24.41,164.94,-15.06,15.06
1434,-23.99,164.98,-15.02,15.02
1435,-24.23,165.03,-14.97,14.97
1436,-24.11,165.09,-14.91,14.91
1437,-24.11,165.23,-14.77,14.77
1438,-24.17,165.35,-14.65,14.65
1439,-24.35,165.48,-14.52,14.52
1440,-24.29,165.61,-14.39,14.39
1441,-24.6,165.75,-14.25,14.25
1442,-24.17,165.94,-14.06,14.06
1443,-24.54,166.15,-13.85,13.85
1444,-24.17,166.35,-13.65,13.65
1445,-23.74,166.59,-13.41,13.41
1446,-23.32,166.82,-13.18,13.18
1447,-22.4,167.06,-12.94,12.94
1448,-21.85,167.29,-12.71,12.71
1449,-21.36,167.58,-12.42,12.42
1450,-20.87,167.93,-12.07,12.07
1451,-20.08,168.27,-11.73,11.73
1452,-19.53,168.6,-11.4,11.4
1453,-19.1,168.95,-11.05,11.05
1454,-18.01,169.26,-10.74,10.74
1455,-17.52,169.64,-10.36,10.36
1456,-16.97,170,-10,10
1457,-16.11,170.4,-9.6,9.6
1458,-15.32,170.79,-9.21,9.21
1459,-14.95,171.17,-8.83,8.83
1460,-14.34,171.56,-8.44,8.44
1461,-13.61,171.95,-8.05,8.05
1462,-13.18,172.33,-7.67,7.67
1463,-12.39,172.73,-7.27,7.27
1464,-11.47,173.08,-6.92,6.92
1465,-10.31,173.47,-6.53,6.53
1466,-9.52,173.83,-6.17,6.17
1467,-8.67,174.2,-5.8,5.8
1468,-8.18,174.59,-5.41,5.41
1469,-7.32,174.94,-5.06,5.06
1470,-6.47,175.34,-4.66,4.66
1471,-5.43,175.7,-4.3,4.3
1472,-4.21,176.09,-3.91,3.91
1473,-2.99,176.46,-3.54,3.54
1474,-1.59,176.8,-3.2,3.2
1475,0,177.15,-2.85,2.85
1476,1.28,177.49,-2.51,2.51
1477,2.81,177.82,-2.18,2.18
1478,3.97,178.15,-1.85,1.85
1479,4.58,178.47,-1.53,1.53
1480,5.49,178.8,-1.2,1.2
1481,6.16,179.12,-0.88,0.88
1482,6.71,179.44,-0.56,0.56
1483,7.2,179.75,-0.25,0.25
1484,7.51,180.05,0.05,-0.05
1485,7.51,180.34,0.34,-0.34
1486,7.63,180.64,0.64,-0.64
1487,7.69,180.89,0.89,-0.89
1488,8.18,181.17,1.17,-1.17
1489,8.18,181.44,1.44,-1.44
1490,8.42,181.72,1.72,-1.72
1491,8.85,181.98,1.98,-1.98
1492,9.16,182.26,2.26,-2.26
1493,9.83,182.52,2.52,-2.52
1494,10.25,182.8,2.8,-2.8
1495,10.74,183.06,3.06,-3.06
1496,11.05,183.34,3.34,-3.34
1497,11.11,183.62,3.62,-3.62
1498,10.93,183.9,3.9,-3.9
1499,11.11,184.17,4.17,-4.17
1500,11.78,184.44,4.44,-4.44
1501,11.96,184.72,4.72,-4.72
1502,12.15,184.98,4.98,-4.98
1503,12.82,185.24,5.24,-5.24
1504,13.43,185.5,5.5,-5.5
1505,13.55,185.76,5.76,-5.76
1506,13.73,186.02,6.02,-6.02
1507,13.92,186.29,6.29,-6.29
1508,14.1,186.55,6.55,-6.55
1509,14.22,186.82,6.82,-6.82
1510,14.59,187.08,7.08,-7.08
1511,15.63,187.37,7.37,-7.37
1512,16.66,187.63,7.63,-7.63
1513,15.99,187.87,7.87,-7.87
1514,16.24,188.1,8.1,-8.1
1515,17.03,188.35,8.35,-8.35
1516,17.33,188.59,8.59,-8.59
1517,17.52,188.81,8.81,-8.81
1518,17.64,189.03,9.03,-9.03
1519,17.7,189.24,9.24,-9.24
1520,17.58,189.46,9.46,-9.46
1521,17.76,189.67,9.67,-9.67
1522,18.13,189.88,9.88,-9.88
1523,18.68,190.08,10.08,-10.08
1524,18.98,190.29,10.29,-10.29
1525,19.41,190.5,10.5,-10.5
1526,19.71,190.72,10.72,-10.72
1527,20.2,190.94,10.94,-10.94
1528,20.51,191.14,11.14,-11.14
1529,20.63,191.35,11.35,-11.35
1530,20.69,191.55,11.55,-11.55
1531,20.75,191.73,11.73,-11.73
1532,20.81,191.91,11.91,-11.91
1533,20.75,192.07,12.07,-12.07
1534,20.87,192.24,12.24,-12.24
1535,21.18,192.4,12.4,-12.4
1536,22.16,192.55,12.55,-12.55
1537,22.95,192.69,12.69,-12.69
1538,23.93,192.78,12.78,-12.78
1539,24.78,192.86,12.86,-12.86
1540,25.63,192.94,12.94,-12.94
1541,26.79,193,13,-13
1542,27.4,193.04,13.04,-13.04
1543,28.08,193.07,13.07,-13.07
1544,28.5,193.1,13.1,-13.1
1545,28.81,193.11,13.11,-13.11
1546,28.93,193.11,13.11,-13.11
1547,29.11,193.12,13.12,-13.12
1548,29.54,193.11,13.11,-13.11
1549,29.91,193.1,13.1,-13.1
1550,30.7,193.11,13.11,-13.11
1551,31.25,193.11,13.11,-13.11
1552,32.1,193.1,13.1,-13.1
1553,33.08,193.07,13.07,-13.07
1554,33.81,193.05,13.05,-13.05
1555,34.3,193,13,-13
1556,34.55,192.94,12.94,-12.94
1557,34.85,192.89,12.89,-12.89
1558,34.79,192.83,12.83,-12.83
1559,34.79,192.76,12.76,-12.76
1560,34.79,192.69,12.69,-12.69
1561,34.67,192.61,12.61,-12.61
1562,34.79,192.53,12.53,-12.53
1563,34.61,192.47,12.47,-12.47
1564,35.03,192.41,12.41,-12.41
1565,35.28,192.34,12.34,-12.34
1566,34.36,192.23,12.23,-12.23
1567,33.63,192.15,12.15,-12.15
1568,34.18,192.1,12.1,-12.1
1569,33.02,192,12,-12
1570,31.25,191.88,11.88,-11.88
1571,29.17,191.78,11.78,-11.78
1572,28.87,191.7,11.7,-11.7
1573,28.14,191.64,11.64,-11.64
1574,27.4,191.51,11.51,-11.51
1575,26.37,191.45,11.45,-11.45
1576,26.18,191.36,11.36,-11.36
1577,25.63,191.3,11.3,-11.3
1578,25.27,191.22,11.22,-11.22
1579,24.84,191.12,11.12,-11.12
1580,24.48,191.03,11.03,-11.03
1581,23.99,190.92,10.92,-10.92
1582,23.56,190.83,10.83,-10.83
1583,23.32,190.74,10.74,-10.74
1584,22.95,190.63,10.63,-10.63
1585,22.89,190.53,10.53,-10.53
1586,22.89,190.41,10.41,-10.41
1587,22.89,190.29,10.29,-10.29
1588,22.71,190.2,10.2,-10.2
1589,22.28,190.08,10.08,-10.08
1590,21.85,189.97,9.97,-9.97
1591,20.75,189.84,9.84,-9.84
1592,19.53,189.7,9.7,-9.7
1593,18.49,189.57,9.57,-9.57
1594,17.4,189.43,9.43,-9.43
1595,16.42,189.28,9.28,-9.28
1596,15.5,189.14,9.14,-9.14
1597,15.08,188.98,8.98,-8.98
1598,14.28,188.82,8.82,-8.82
1599,14.16,188.66,8.66,-8.66
1600,13.98,188.49,8.49,-8.49
1601,13.79,188.3,8.3,-8.3
1602,13.06,188.11,8.11,-8.11
1603,12.45,187.92,7.92,-7.92
1604,11.17,187.72,7.72,-7.72
1605,9.95,187.51,7.51,-7.51
1606,8.79,187.3,7.3,-7.3
1607,7.08,187.09,7.09,-7.09
1608,5.98,186.86,6.86,-6.86
1609,4.88,186.64,6.64,-6.64
1610,3.91,186.38,6.38,-6.38
1611,2.99,186.15,6.15,-6.15
1612,1.83,185.91,5.91,-5.91
1613,0.85,185.67,5.67,-5.67
1614,-0.12,185.43,5.43,-5.43
1615,-1.46,185.2,5.2,-5.2
1616,-2.2,184.97,4.97,-4.97
1617,-3.17,184.73,4.73,-4.73
1618,-3.85,184.49,4.49,-4.49
1619,-4.33,184.24,4.24,-4.24
1620,-5.07,183.99,3.99,-3.99
1621,-5.62,183.73,3.73,-3.73
1622,-6.23,183.48,3.48,-3.48
1623,-6.9,183.21,3.21,-3.21
1624,-7.26,182.96,2.96,-2.96
1625,-7.39,182.7,2.7,-2.7
1626,-7.93,182.44,2.44,-2.44
1627,-8.18,182.17,2.17,-2.17
1628,-8.36,181.9,1.9,-1.9
1629,-8.54,181.64,1.64,-1.64
1630,-8.67,181.38,1.38,-1.38
1631,-8.91,181.11,1.11,-1.11
1632,-9.09,180.84,0.84,-0.84
1633,-9.22,180.58,0.58,-0.58
1634,-9.46,180.32,0.32,-0.32
1635,-9.58,180.06,0.06,-0.06
1636,-9.95,179.8,-0.2,0.2
1637,-10.44,179.54,-0.46,0.46
1638,-10.31,179.28,-0.72,0.72
1639,-10.68,179.02,-0.98,0.98
1640,-10.93,178.77,-1.23,1.23
1641,-11.23,178.51,-1.49,1.49
1642,-11.47,178.25,-1.75,1.75
1643,-11.72,178,-2,2
1644,-12.02,177.76,-2.24,2.24
1645,-12.39,177.52,-2.48,2.48
1646,-12.82,177.29,-2.71,2.71
1647,-13,177.07,-2.93,2.93
1648,-13.49,176.84,-3.16,3.16
1649,-13.85,176.63,-3.37,3.37
1650,-14.28,176.43,-3.57,3.57
1651,-14.65,176.21,-3.79,3.79
1652,-14.89,176,-4,4
1653,-15.26,175.8,-4.2,4.2
1654,-15.75,175.61,-4.39,4.39
1655,-15.63,175.43,-4.57,4.57
1656,-15.5,175.26,-4.74,4.74
1657,-15.75,175.15,-4.85,4.85
1658,-15.5,174.95,-5.05,5.05
1659,-15.56,174.8,-5.2,5.2
1660,-15.38,174.63,-5.37,5.37
1661,-15.14,174.46,-5.54,5.54
1662,-15.32,174.33,-5.67,5.67
1663,-15.08,174.19,-5.81,5.81
1664,-15.38,174.08,-5.92,5.92
1665,-15.69,173.91,-6.09,6.09
1666,-15.99,173.78,-6.22,6.22
1667,-16.17,173.63,-6.37,6.37
1668,-16.54,173.52,-6.48,6.48
1669,-16.97,173.43,-6.57,6.57
1670,-17.09,173.28,-6.72,6.72
1671,-17.76,173.18,-6.82,6.82
1672,-17.52,173.04,-6.96,6.96
1673,-17.33,173.05,-6.95,6.95
1674,-17.46,172.9,-7.1,7.1
1675,-17.58,172.87,-7.13,7.13
1676,-17.7,172.65,-7.35,7.35
1677,-18.25,172.61,-7.39,7.39
1678,-18.37,172.53,-7.47,7.47
1679,-18.13,172.47,-7.53,7.53
1680,-17.52,172.4,-7.6,7.6
1681,-17.46,172.31,-7.69,7.69
1682,-17.46,172.18,-7.82,7.82
1683,-17.33,172.14,-7.86,7.86
1684,-16.42,172.04,-7.96,7.96
1685,-16.36,172.01,-7.99,7.99
1686,-16.6,171.94,-8.06,8.06
1687,-16.66,171.91,-8.09,8.09
1688,-16.36,171.89,-8.11,8.11
1689,-16.3,171.85,-8.15,8.15
1690,-16.36,171.84,-8.16,8.16
1691,-16.24,171.82,-8.18,8.18
1692,-15.5,171.83,-8.17,8.17
1693,-15.01,171.82,-8.18,8.18
1694,-14.59,171.83,-8.17,8.17
1695,-14.22,171.84,-8.16,8.16
1696,-13.55,171.85,-8.15,8.15
1697,-13,171.88,-8.12,8.12
1698,-12.57,171.9,-8.1,8.1
1699,-11.96,171.93,-8.07,8.07
1700,-11.66,171.96,-8.04,8.04
1701,-10.93,172,-8,8
1702,-10.44,172.05,-7.95,7.95
1703,-10.13,172.1,-7.9,7.9
1704,-9.28,172.15,-7.85,7.85
1705,-9.28,172.19,-7.81,7.81
1706,-8.91,172.25,-7.75,7.75
1707,-9.03,172.29,-7.71,7.71
1708,-9.09,172.35,-7.65,7.65
1709,-9.28,172.4,-7.6,7.6
1710,-9.03,172.46,-7.54,7.54
1711,-9.16,172.52,-7.48,7.48
1712,-9.28,172.59,-7.41,7.41
1713,-9.52,172.65,-7.35,7.35
1714,-9.7,172.73,-7.27,7.27
1715,-9.46,172.81,-7.19,7.19
1716,-9.4,172.9,-7.1,7.1
1717,-9.4,172.99,-7.01,7.01
1718,-9.34,173.08,-6.92,6.92
1719,-9.09,173.19,-6.81,6.81
1720,-8.97,173.31,-6.69,6.69
1721,-8.79,173.43,-6.57,6.57
1722,-8.61,173.54,-6.46,6.46
1723,-8.42,173.68,-6.32,6.32
1724,-9.03,173.82,-6.18,6.18
1725,-9.03,173.98,-6.02,6.02
1726,-9.09,174.16,-5.84,5.84
1727,-9.58,174.33,-5.67,5.67
1728,-9.7,174.53,-5.47,5.47
1729,-9.64,174.73,-5.27,5.27
1730,-9.58,174.94,-5.06,5.06
1731,-9.28,175.15,-4.85,4.85
1732,-8.85,175.36,-4.64,4.64
1733,-8.48,175.57,-4.43,4.43
1734,-7.93,175.79,-4.21,4.21
1735,-7.45,176.02,-3.98,3.98
1736,-6.53,176.26,-3.74,3.74
1737,-6.1,176.5,-3.5,3.5
1738,-5.31,176.75,-3.25,3.25
1739,-4.64,176.99,-3.01,3.01
1740,-4.15,177.23,-2.77,2.77
1741,-3.54,177.48,-2.52,2.52
1742,-2.87,177.71,-2.29,2.29
1743,-2.32,177.95,-2.05,2.05
1744,-2.01,178.18,-1.82,1.82
1745,-1.1,178.41,-1.59,1.59
1746,-0.18,178.64,-1.36,1.36
1747,0.37,178.86,-1.14,1.14
1748,0.85,179.07,-0.93,0.93
1749,1.34,179.29,-0.71,0.71
1750,2.32,179.52,-0.48,0.48
1751,3.23,179.74,-0.26,0.26
1752,3.66,179.94,-0.06,0.06
1753,4.64,180.15,0.15,-0.15
1754,5.31,180.34,0.34,-0.34
1755,6.04,180.53,0.53,-0.53
1756,6.84,180.71,0.71,-0.71
1757,7.02,180.9,0.9,-0.9
1758,7.39,181.08,1.08,-1.08
1759,7.57,181.26,1.26,-1.26
1760,7.57,181.43,1.43,-1.43
1761,7.69,181.6,1.6,-1.6
1762,7.81,181.77,1.77,-1.77
1763,8.24,181.94,1.94,-1.94
1764,8.67,182.1,2.1,-2.1
1765,9.52,182.25,2.25,-2.25
1766,10.31,182.38,2.38,-2.38
1767,10.93,182.52,2.52,-2.52
1768,11.78,182.64,2.64,-2.64
1769,12.57,182.77,2.77,-2.77
1770,13.49,182.89,2.89,-2.89
1771,14.34,183,3,-3
1772,14.71,183.1,3.1,-3.1
1773,15.69,183.19,3.19,-3.19
1774,15.99,183.29,3.29,-3.29
1775,16.54,183.38,3.38,-3.38
1776,16.85,183.47,3.47,-3.47
1777,17.27,183.56,3.56,-3.56
1778,17.4,183.64,3.64,-3.64
1779,17.52,183.73,3.73,-3.73
1780,17.58,183.81,3.81,-3.81
1781,17.27,183.88,3.88,-3.88
1782,17.15,183.95,3.95,-3.95
1783,16.91,184,4,-4
1784,16.6,184.05,4.05,-4.05
1785,16.36,184.1,4.1,-4.1
1786,16.11,184.15,4.15,-4.15
1787,16.11,184.19,4.19,-4.19
1788,16.11,184.24,4.24,-4.24
1789,16.17,184.29,4.29,-4.29
1790,16.54,184.34,4.34,-4.34
1791,17.33,184.38,4.38,-4.38
1792,17.52,184.41,4.41,-4.41
1793,17.58,184.45,4.45,-4.45
1794,18.01,184.47,4.47,-4.47
1795,17.94,184.49,4.49,-4.49
1796,18.07,184.5,4.5,-4.5
1797,18.13,184.52,4.52,-4.52
1798,18.13,184.52,4.52,-4.52
1799,17.82,184.53,4.53,-4.53
1800,17.82,184.52,4.52,-4.52
1801,17.76,184.51,4.51,-4.51
1802,17.58,184.49,4.49,-4.49
1803,17.33,184.46,4.46,-4.46
1804,17.64,184.43,4.43,-4.43
1805,17.7,184.39,4.39,-4.39
1806,17.4,184.34,4.34,-4.34
1807,17.15,184.28,4.28,-4.28
1808,16.66,184.22,4.22,-4.22
1809,16.42,184.15,4.15,-4.15
1810,16.17,184.08,4.08,-4.08
1811,15.87,184,4,-4
1812,15.5,183.91,3.91,-3.91
1813,15.38,183.81,3.81,-3.81
1814,15.44,183.69,3.69,-3.69
1815,15.08,183.57,3.57,-3.57
1816,15.14,183.46,3.46,-3.46
1817,15.08,183.34,3.34,-3.34
1818,14.95,183.21,3.21,-3.21
1819,14.77,183.07,3.07,-3.07
1820,14.28,182.92,2.92,-2.92
1821,14.1,182.77,2.77,-2.77
1822,14.16,182.62,2.62,-2.62
1823,14.04,182.46,2.46,-2.46
1824,14.22,182.3,2.3,-2.3
1825,14.4,182.14,2.14,-2.14
1826,14.77,181.99,1.99,-1.99
1827,14.83,181.83,1.83,-1.83
1828,14.89,181.66,1.66,-1.66
1829,14.59,181.51,1.51,-1.51
1830,14.34,181.34,1.34,-1.34
1831,13.92,181.19,1.19,-1.19
1832,13,181.02,1.02,-1.02
1833,12.45,180.85,0.85,-0.85
1834,11.9,180.71,0.71,-0.71
1835,10.68,180.53,0.53,-0.53
1836,10.07,180.37,0.37,-0.37
1837,9.09,180.23,0.23,-0.23
1838,7.87,180.06,0.06,-0.06
1839,6.41,179.91,-0.09,0.09
1840,6.29,179.76,-0.24,0.24
1841,5.62,179.62,-0.38,0.38
1842,4.15,179.48,-0.52,0.52
1843,3.17,179.33,-0.67,0.67
1844,2.5,179.2,-0.8,0.8
1845,1.89,179.06,-0.94,0.94
1846,0.73,178.92,-1.08,1.08
1847,0.31,178.79,-1.21,1.21
1848,-0.49,178.64,-1.36,1.36
1849,-0.85,178.51,-1.49,1.49
1850,-1.04,178.39,-1.61,1.61
1851,-1.46,178.27,-1.73,1.73
1852,-1.46,178.14,-1.86,1.86
1853,-1.53,178.02,-1.98,1.98
1854,-1.46,177.91,-2.09,2.09
1855,-1.46,177.77,-2.23,2.23
1856,-1.4,177.65,-2.35,2.35
1857,-1.22,177.53,-2.47,2.47
1858,-1.53,177.41,-2.59,2.59
1859,-1.83,177.28,-2.72,2.72
1860,-2.14,177.16,-2.84,2.84
1861,-2.56,177.03,-2.97,2.97
1862,-3.17,176.9,-3.1,3.1
1863,-3.78,176.76,-3.24,3.24
1864,-4.09,176.62,-3.38,3.38
1865,-4.03,176.53,-3.47,3.47
1866,-4.52,176.38,-3.62,3.62
1867,-5.13,176.26,-3.74,3.74
1868,-5.68,176.14,-3.86,3.86
1869,-5.8,176.02,-3.98,3.98
1870,-5.98,175.91,-4.09,4.09
1871,-6.16,175.8,-4.2,4.2
1872,-6.1,175.7,-4.3,4.3
1873,-6.23,175.59,-4.41,4.41
1874,-5.98,175.49,-4.51,4.51
1875,-6.1,175.4,-4.6,4.6
1876,-5.68,175.33,-4.67,4.67
1877,-5.55,175.26,-4.74,4.74
1878,-5.19,175.2,-4.8,4.8
1879,-5.37,175.14,-4.86,4.86
1880,-5.49,175.08,-4.92,4.92
1881,-5.55,175.04,-4.96,4.96
1882,-5.62,175,-5,5
1883,-5.92,174.96,-5.04,5.04
1884,-6.04,174.95,-5.05,5.05
1885,-6.41,174.93,-5.07,5.07
1886,-6.04,174.91,-5.09,5.09
1887,-6.04,174.91,-5.09,5.09
1888,-5.92,174.91,-5.09,5.09
1889,-5.43,174.91,-5.09,5.09
1890,-5.07,174.92,-5.08,5.08
1891,-4.52,174.94,-5.06,5.06
1892,-4.09,174.96,-5.04,5.04
1893,-3.48,174.99,-5.01,5.01
1894,-2.99,175.01,-4.99,4.99
1895,-2.44,175.05,-4.95,4.95
1896,-1.71,175.09,-4.91,4.91
1897,-1.46,175.13,-4.87,4.87
1898,-0.98,175.16,-4.84,4.84
1899,-0.98,175.2,-4.8,4.8
1900,-0.67,175.26,-4.74,4.74
1901,-0.49,175.31,-4.69,4.69
1902,-0.49,175.36,-4.64,4.64
1903,-0.43,175.41,-4.59,4.59
1904,-0.18,175.46,-4.54,4.54
1905,0,175.51,-4.49,4.49
1906,0.31,175.56,-4.44,4.44
1907,0.49,175.62,-4.38,4.38
1908,0.73,175.69,-4.31,4.31
1909,0.85,175.75,-4.25,4.25
1910,0.98,175.82,-4.18,4.18
1911,1.4,175.9,-4.1,4.1
1912,1.46,175.97,-4.03,4.03
1913,1.83,176.05,-3.95,3.95
1914,2.2,176.14,-3.86,3.86
1915,2.56,176.24,-3.76,3.76
1916,2.81,176.32,-3.68,3.68
1917,2.81,176.41,-3.59,3.59
1918,2.75,176.51,-3.49,3.49
1919,2.87,176.61,-3.39,3.39
1920,2.32,176.7,-3.3,3.3
1921,2.26,176.8,-3.2,3.2
1922,2.38,176.9,-3.1,3.1
1923,2.69,177,-3,3
1924,2.87,177.1,-2.9,2.9
1925,3.3,177.22,-2.78,2.78
1926,3.6,177.31,-2.69,2.69
1927,4.03,177.42,-2.58,2.58
1928,4.15,177.51,-2.49,2.49
1929,4.39,177.61,-2.39,2.39
1930,4.7,177.71,-2.29,2.29
1931,4.88,177.8,-2.2,2.2
1932,5,177.89,-2.11,2.11
1933,5.25,177.98,-2.02,2.02
1934,5.8,178.07,-1.93,1.93
1935,6.35,178.15,-1.85,1.85
1936,6.9,178.23,-1.77,1.77
1937,7.39,178.31,-1.69,1.69
1938,7.75,178.38,-1.62,1.62
1939,7.69,178.45,-1.55,1.55
1940,7.81,178.51,-1.49,1.49
1941,7.87,178.57,-1.43,1.43
1942,8.12,178.62,-1.38,1.38
1943,7.87,178.66,-1.34,1.34
1944,8.06,178.71,-1.29,1.29
1945,7.93,178.75,-1.25,1.25
1946,8,178.78,-1.22,1.22
1947,8.24,178.81,-1.19,1.19
1948,8.61,178.83,-1.17,1.17
1949,8.97,178.85,-1.15,1.15
1950,9.16,178.86,-1.14,1.14
1951,9.4,178.87,-1.13,1.13
1952,9.83,178.87,-1.13,1.13
1953,10.25,178.87,-1.13,1.13
1954,10.25,178.86,-1.14,1.14
1955,10.01,178.85,-1.15,1.15
1956,9.77,178.83,-1.17,1.17
1957,9.64,178.82,-1.18,1.18
